Rank,University,City,State,Type,Tuition_in_state,Tuition_out_of_state,Enrollment,Acceptance_rate,Freshman_retention_rate,6yr_Grad_rate
1,University of California Berkeley,Berkeley,CA,Public,13844,25064,36204,17.7,97,91
2,University of California Los Angeles,Los Angeles,CA,Public,12702,35580,42190,20.4,97,90
3,University of Virginia,Charlottesville,VA,Public,12998,42184,23464,30.1,97,93
4,University of Michigan Ann Arbor,Ann Arbor,MI,Public,13977,41811,43710,33.3,97,90
5,University of North Carolina Chapel Hill,Chapel Hill,NC,Public,8374,33624,29127,26.7,97,90
6,College of William and Mary,Williamsburg,VA,Public,17656,39360,8376,33.2,96,90
7,Georgia Institute of Technology,Atlanta,GA,Public,11394,30698,21471,41.1,95,82
8,University of California San Diego,La Jolla,CA,Public,13302,36180,28731,36.8,95,86
9,University of California Davis,Davis,CA,Public,13896,36774,33307,41.3,93,84
10,University of California Santa Barbara,Santa Barbara,CA,Public,13746,36624,22225,39.8,92,86
11,University of California Irvine,Irvine,CA,Public,14757,37635,28895,41.1,94,86
12,University of Illinois Urbana Champaign,Champaign,IL,Public,15602,30228,44942,62.4,94,84
13,University of Wisconsin Madison,Madison,WI,Public,10410,26660,43275,51.1,95,84
14,Pennsylvania State University University Park,University Park,PA,Public,17502,30452,46615,55.5,92,85
15,University of Florida,Gainesville,FL,Public,6313,28591,49878,46.6,96,87
16,University of Washington,Seattle,WA,Public,12394,33513,43762,55.2,93,82
17,University of Texas Austin,Austin,TX,Public,9798,34722,52059,40.2,93,79
18,Ohio State University Columbus,Columbus,OH,Public,10037,26537,57466,55.5,93,83
19,University of Connecticut,Storrs,CT,Public,12700,32880,25911,53.7,93,83
20,Clemson University,Clemson,SC,Public,13382,30816,21303,57.2,91,82
21,Purdue University West Lafayette,West Lafayette,IN,Public,10002,28804,38788,60.4,90,71
22,University of Georgia,Athens,GA,Public,10836,29046,34536,54.7,94,83
23,University of Maryland College Park,College Park,MD,Public,9427,29720,37272,46.9,95,84
24,University of Pittsburgh,Pittsburgh,PA,Public,17772,28168,28649,54.5,92,80
25,Texas A&M University College Station,College Station,TX,Public,9180,26356,57795,69.2,92,81
26,Rutgers The State University of New Jersey New Brunswick,Piscataway,NJ,Public,13813,28591,48036,59.5,92,79
27,University of Iowa,Iowa City,IA,Public,8079,27409,31065,80.2,86,70
28,University of Minnesota Twin Cities,Minneapolis,MN,Public,13626,20876,51526,44.4,90,75
